"","dataTime","stationName","so2Value","coValue","o3Value","no2Value","pm10Value"
"1","2021-02-28 20:00","소사본동",0.004,0.7,"0.000",0.052,59
"2","2021-02-28 20:00","내동",0.004,0.5,"0.005",0.052,72
"3","2021-02-28 20:00","중2동",0.004,0.7,"0.001",0.052,47
"4","2021-02-28 20:00","오정동",0.006,0.6,"0.003",0.05,51
"5","2021-02-28 20:00","송내대로(중동)",0.005,0.6,"0.003",0.051,47
"6","2021-02-28 20:00","신풍동",0.003,0.5,"0.015",0.038,32
"7","2021-02-28 20:00","인계동",0.003,0.6,"0.017",0.038,31
"8","2021-02-28 20:00","광교동",0.002,0.6,"0.012",0.044,34
"9","2021-02-28 20:00","영통동",0.002,0.6,"0.021",0.031,33
"10","2021-02-28 20:00","천천동",0.002,0.5,"0.012",0.043,35
"11","2021-02-28 20:00","경수대로(동수원)",0.002,0.6,"0.010",0.035,35
"12","2021-02-28 20:00","고색동",0.003,0.6,"0.015",0.036,49
"13","2021-02-28 20:00","호매실동",0.002,0.5,"0.014",0.035,38
"14","2021-02-28 20:00","대왕판교로(백현동)",0.007,1.1,"-",0.053,30
"15","2021-02-28 20:00","단대동",0.003,0.5,"0.009",0.045,30
"16","2021-02-28 20:00","정자동",0.002,0.6,"0.005",0.045,31
"17","2021-02-28 20:00","수내동",0.002,0.6,"0.004",0.048,26
"18","2021-02-28 20:00","성남대로(모란역)",0.004,0.7,"0.004",0.052,37
"19","2021-02-28 20:00","복정동",0.001,0.7,"0.008",0.048,36
"20","2021-02-28 20:00","운중동",0.002,0.6,"0.006",0.048,32
"21","2021-02-28 20:00","상대원동",0.003,0.6,"0.005",0.045,30
"22","2021-02-28 20:00","의정부동",0.005,0.6,"0.006",0.048,32
"23","2021-02-28 20:00","의정부1동",0.005,0.7,"0.006",0.053,45
"24","2021-02-28 20:00","송산3동",0.004,0.5,"0.004",0.042,25
"25","2021-02-28 20:00","안양6동",0.003,0.4,"0.010",0.042,43
"26","2021-02-28 20:00","부림동",0.004,0.6,"0.009",0.041,41
"27","2021-02-28 20:00","호계동",0.004,0.4,"0.012",0.039,35
"28","2021-02-28 20:00","안양2동",0.003,0.5,"0.012",0.049,51
"29","2021-02-28 20:00","철산동",0.004,0.5,"0.007",0.042,42
"30","2021-02-28 20:00","소하동",0.003,0.4,"0.013",0.033,48
