"Source","Target","Weight"
"설경구","류승범",1
"설경구","한혜진",1
"류승범","한혜진",1
"안성기","이하나",1
"이나영","김지석",1
"송윤아","김명국",1
"조한선","지현우",1
"김기범","황보라",1
"서태지 밴드(서태지","안성훈",1
"서태지 밴드(서태지","김석중",1
"안성훈","김석중",1
"서태지 밴드(서태지","최현진",1
"안성훈","최현진",1
"김석중","최현진",1
"서태지 밴드(서태지","강준형) 톨가 카쉬프",1
"안성훈","강준형) 톨가 카쉬프",1
"김석중","강준형) 톨가 카쉬프",1
"최현진","강준형) 톨가 카쉬프",1
"김정은","진구",1
"김윤진","나문희",1
"강동원","송강호",1
"배용근","홍영근",1
"지진희","하정우",1
"서준영","이민지",1
"나문희","김수미",1
"감우성","장신영",1
"윤제문","김인권",1
"유지태","윤진서",1
"최요한","김미희",1
"김남길","황우슬혜",1
"김두진","한이빈",1
"김두진","육동일",1
"한이빈","육동일",1
"김동욱","유오성",1
"김동욱","성지루",1
"유오성","성지루",1
"지진희","이문식",1
"지진희","양익준",1
"이문식","양익준",1
"엄정화","류승룡",1
"엄정화","조진웅",1
"류승룡","조진웅",1
"엄정화","이도경",1
"류승룡","이도경",1
"조진웅","이도경",1
"문성근","강신일",1
"문성근","김뢰하",1
"강신일","김뢰하",1
"나카야마 미호","니시지마 히데토시",1
"김해숙","박진희",1
"박지윤","이호영",1
"갤럭시 익스프레스","타바코쥬스",1
"박은수","성혜림",1
"박은수","김정균",1
"성혜림","김정균",1
"박은수","김민기",1
"성혜림","김민기",1
"김정균","김민기",1
"한여름","조경호",1
"한여름","홍승기",1
"조경호","홍승기",1
"황정민","차승원",1
"황정민","한지혜",1
"차승원","한지혜",1
"황정민","백성현",1
"차승원","백성현",1
"한지혜","백성현",1
"양은용","이호영",1
"양은용","공예지",1
"이호영","공예지",1
"이동규","주민하",1
"이동규","조용준",1
"주민하","조용준",1
"이주승","장리우",1
"이청아","류현경",1
"이청아","정애연",1
"류현경","정애연",1
"임원희","손병호",1
"임원희","이아이",1
"손병호","이아이",1
"김상경","문소리",1
"김상경","유준상",1
"문소리","유준상",1
"김상경","예지원",1
"문소리","예지원",1
"유준상","예지원",1
"마붑 알엄 펄럽","유예진",1
"윤정희","이다윗",1
"전도연","이정재",1
"전도연","윤여정",1
"이정재","윤여정",1
"전도연","서우",1
"이정재","서우",1
"윤여정","서우",1
"이우성","한주영",1
"이우성","조성아",1
"한주영","조성아",1
"박중훈","정유미",1
"야마다 마사시","야마자키 하지메",1
"야마다 마사시","유하나",1
"야마자키 하지메","유하나",1
"야마다 마사시","김정화(우정출연)",1
"야마자키 하지메","김정화(우정출연)",1
"유하나","김정화(우정출연)",1
"김유미","박주희",1
"김유미","양은용",1
"박주희","양은용",1
"김유미","박상규",1
"박주희","박상규",1
"양은용","박상규",1
"김진아","조동희",1
"김진아","김호영",1
"조동희","김호영",1
"이성재","강성진",1
"이성재","정경호",1
"강성진","정경호",1
"이성재","추상록",1
"강성진","추상록",1
"정경호","추상록",1
"이성재","최지현",1
"강성진","최지현",1
"정경호","최지현",1
"추상록","최지현",1
"이성재","유태웅",1
"강성진","유태웅",1
"정경호","유태웅",1
"추상록","유태웅",1
"최지현","유태웅",1
"박해미","신이",1
"박해미","이태성",1
"신이","이태성",1
"전혜진","성 혁",1
"전혜진","장성원",1
"성 혁","장성원",1
"전혜진","김도용",1
"성 혁","김도용",1
"장성원","김도용",1
"김주혁","류승범",1
"김주혁","조여정",1
"류승범","조여정",1
"김예리","신지수",1
"김예리","김꽃비",1
"신지수","김꽃비",1
"김예리","이민호",1
"신지수","이민호",1
"김꽃비","이민호",1
"김예리","최혜경",1
"신지수","최혜경",1
"김꽃비","최혜경",1
"이민호","최혜경",1
"차승원","권상우",1
"차승원","최승현",1
"권상우","최승현",1
"차승원","김승우",1
"권상우","김승우",1
"최승현","김승우",1
"박희순","고창석",1
"임지규","서현진",1
"임지규","김정욱",1
"서현진","김정욱",1
"김흥수","조안",1
"김흥수","오태경",1
"조안","오태경",1
"김흥수","서장원",1
"조안","서장원",1
"오태경","서장원",1
"백선엽","최갑석",1
"백선엽","최영섭",1
"최갑석","최영섭",1
"김명민","엄기준",1
"김명민","박주미",1
"엄기준","박주미",1
"박하선","김정태",1
"한태일","오수현",1
"한태일","임호영",1
"오수현","임호영",1
"한태일","문성복",1
"오수현","문성복",1
"임호영","문성복",1
"한태일","박지혜",1
"오수현","박지혜",1
"임호영","박지혜",1
